Em,IDSessao,Pedido,IP,Pageviews
08/05/2017 19:16:00,2093904418,,"177.73.82.197",17
08/05/2017 19:16:00,2093904372,,"177.11.254.2",1
08/05/2017 19:08:00,2093900528,,"177.202.205.202",2
08/05/2017 19:05:00,2093899095,,"177.59.104.71",0
08/05/2017 19:05:00,2093899003,,"173.252.124.16",0
08/05/2017 19:00:00,2093896551,,"187.112.212.201",1
08/05/2017 18:58:00,2093895490,,"66.249.83.86",0
08/05/2017 18:54:00,2093893339,,"191.39.64.184",3
08/05/2017 18:53:00,2093892716,,"66.249.88.5",0
08/05/2017 18:51:00,2093892162,,"189.8.0.194",3
08/05/2017 18:46:00,2093889721,,"201.22.173.190",7
08/05/2017 18:46:00,2093889597,,"201.22.173.190",9
08/05/2017 18:43:00,2093888217,,"66.249.64.218",0
08/05/2017 18:39:00,2093886722,,"189.15.175.91",2
08/05/2017 18:36:00,2093885149,,"40.77.167.133",0
08/05/2017 18:33:00,2093883850,,"191.55.191.198",137
08/05/2017 18:32:00,2093883567,,"191.54.66.118",3
08/05/2017 18:31:00,2093882857,,"186.237.159.228",1
08/05/2017 18:31:00,2093882800,,"186.237.159.228",1
08/05/2017 18:31:00,2093882741,,"186.237.159.228",1
08/05/2017 18:31:00,2093882686,,"186.237.159.228",1
08/05/2017 18:31:00,2093882678,,"186.237.159.228",1
08/05/2017 18:30:00,2093882120,,"177.103.101.77",5
08/05/2017 18:29:00,2093881669,,"131.253.27.24",0
08/05/2017 18:28:00,2093881661,,"66.249.64.218",0
08/05/2017 18:28:00,2093881637,,"157.55.39.75",0
08/05/2017 18:26:00,2093880388,,"54.236.1.13",0
08/05/2017 18:14:00,2093874709,,"66.102.7.244",2
08/05/2017 18:12:00,2093873773,,"66.102.7.242",1
08/05/2017 18:09:00,2093872549,,"66.249.64.214",0
08/05/2017 18:07:00,2093871357,,"66.249.64.218",0
08/05/2017 18:05:00,2093870655,,"189.6.16.153",21
08/05/2017 18:05:00,2093870423,,"66.249.64.214",0
08/05/2017 18:01:00,2093868950,,"66.249.64.210",0
08/05/2017 18:00:00,2093868300,,"187.33.130.238",1
08/05/2017 17:59:00,2093867766,,"131.253.27.8",0
08/05/2017 17:58:00,2093867713,,"40.77.167.133",0
08/05/2017 17:58:00,2093867374,,"66.249.64.214",0
08/05/2017 17:57:00,2093867011,,"186.206.254.25",2
08/05/2017 17:53:00,2093865251,,"66.249.64.143",0
08/05/2017 17:53:00,2093865115,,"186.192.208.35",3
08/05/2017 17:52:00,2093864577,,"191.223.154.4",23
08/05/2017 17:52:00,2093864335,,"66.220.156.183",0
08/05/2017 17:51:00,2093864182,,"66.102.7.242",1
08/05/2017 17:51:00,2093863954,,"191.223.198.190",26
08/05/2017 17:43:00,2093859949,,"201.11.221.203",1
08/05/2017 17:42:00,2093859557,,"179.235.82.196",1
08/05/2017 17:42:00,2093859340,,"67.227.147.196",2
08/05/2017 17:38:00,2093857602,,"157.55.39.75",0
08/05/2017 17:31:00,2093853906,,"179.127.143.17",2
08/05/2017 17:28:00,2093852378,,"189.107.40.247",1
08/05/2017 17:28:00,2093852279,,"179.34.171.212",1
08/05/2017 17:26:00,2093851109,,"66.249.64.214",0
08/05/2017 17:26:00,2093850912,,"66.249.64.218",0
08/05/2017 17:22:00,2093848898,,"90.168.76.143",1
08/05/2017 17:17:00,2093845907,,"199.30.25.15",0
08/05/2017 17:17:00,2093845883,,"186.237.159.228",114
08/05/2017 17:17:00,2093845864,,"157.55.39.75",0
08/05/2017 17:15:00,2093845083,,"177.189.167.129",21
08/05/2017 17:15:00,2093844926,,"54.236.1.11",0
08/05/2017 17:14:00,2093844726,,"177.91.95.253",1
08/05/2017 17:09:00,2093842044,,"200.138.31.222",3
08/05/2017 17:07:00,2093841315,,"191.184.163.195",51
08/05/2017 17:05:00,2093840343,,"54.236.1.13",0
08/05/2017 17:03:00,2093839373,,"186.237.159.228",33
08/05/2017 16:54:00,2093834702,,"66.249.64.218",0
08/05/2017 16:50:00,2093832759,,"199.30.25.162",0
08/05/2017 16:48:00,2093831834,,"177.191.140.198",1
08/05/2017 16:48:00,2093831828,,"157.55.39.122",0
08/05/2017 16:44:00,2093829923,,"143.208.217.51",6
08/05/2017 16:41:00,2093828576,,"186.234.253.55",4
08/05/2017 16:41:00,2093828341,,"66.249.64.214",0
08/05/2017 16:39:00,2093827076,,"189.110.41.178",5
08/05/2017 16:38:00,2093826921,,"191.5.122.240",3
08/05/2017 16:33:00,2093823962,,"189.71.192.121",1
08/05/2017 16:29:00,2093822157,,"131.108.229.18",2
08/05/2017 16:29:00,2093821735,,"179.181.209.99",1
08/05/2017 16:28:00,2093821306,,"189.92.104.34",19
08/05/2017 16:24:00,2093819478,,"54.236.1.14",0
08/05/2017 16:19:00,2093816852,,"189.40.74.164",19
08/05/2017 16:17:00,2093815838,,"177.179.50.186",10
08/05/2017 16:17:00,2093815829,,"187.6.251.2",25
08/05/2017 16:12:00,2093813329,,"167.250.56.1",5
08/05/2017 16:12:00,2093813278,,"201.89.24.168",12
08/05/2017 16:11:00,2093812956,,"186.225.176.93",1
08/05/2017 16:08:00,2093810987,,"200.169.41.118",2
08/05/2017 16:08:00,2093810791,,"66.249.64.214",0
08/05/2017 16:07:00,2093810271,,"66.249.64.214",0
08/05/2017 16:06:00,2093809768,,"190.9.207.119",1
08/05/2017 16:04:00,2093808919,,"201.159.183.36",30
08/05/2017 16:01:00,2093807582,,"186.237.159.228",35
08/05/2017 15:59:00,2093806681,,"179.126.52.236",2
08/05/2017 15:59:00,2093806370,,"157.55.39.79",0
08/05/2017 15:56:00,2093804528,,"138.99.70.173",1
08/05/2017 15:55:00,2093804176,,"173.252.90.119",0
08/05/2017 15:55:00,2093804092,,"189.44.225.227",8
08/05/2017 15:51:00,2093801569,,"186.237.159.228",15
08/05/2017 15:50:00,2093801191,,"201.29.6.202",29
08/05/2017 15:49:00,2093800782,,"201.20.114.146",3
08/05/2017 15:48:00,2093800416,,"199.30.25.162",0
08/05/2017 15:48:00,2093800252,,"157.55.39.75",0
08/05/2017 15:46:00,2093798753,,"200.150.122.202",2
08/05/2017 15:45:00,2093798636,,"66.249.64.218",0
08/05/2017 15:43:00,2093797345,,"66.249.64.214",0
08/05/2017 15:42:00,2093796807,,"187.112.224.199",1
08/05/2017 15:37:00,2093794302,,"189.89.24.213",0
08/05/2017 15:37:00,2093794301,,"189.89.24.213",0
08/05/2017 15:37:00,2093794142,,"177.96.164.145",10
08/05/2017 15:33:00,2093792318,,"65.55.210.0",0
08/05/2017 15:31:00,2093791625,,"177.130.17.104",1
08/05/2017 15:25:00,2093788268,,"200.97.216.123",1
08/05/2017 15:25:00,2093788118,,"66.249.64.210",0
08/05/2017 15:18:00,2093783830,,"177.189.220.155",1
08/05/2017 15:17:00,2093783195,,"177.4.5.176",6
08/05/2017 15:15:00,2093782296,,"199.30.25.44",0
08/05/2017 15:13:00,2093781085,,"200.0.102.2",6
08/05/2017 15:06:00,2093777177,,"200.0.102.2",7
08/05/2017 15:02:00,2093775124,,"186.237.159.228",1
08/05/2017 15:01:00,2093774580,,"177.22.241.151",3
08/05/2017 14:53:00,2093770603,,"189.6.18.42",8
08/05/2017 14:52:00,2093770192,,"189.74.99.131",8
08/05/2017 14:52:00,2093769734,,"66.249.64.210",0
08/05/2017 14:51:00,2093769692,,"177.39.172.45",8
08/05/2017 14:51:00,2093769622,,"54.236.1.14",0
08/05/2017 14:51:00,2093769584,,"186.237.159.228",10
08/05/2017 14:50:00,2093769054,,"186.237.159.228",7
08/05/2017 14:44:00,2093765361,,"191.218.26.16",2
08/05/2017 14:43:00,2093765020,,"200.188.227.252",54
08/05/2017 14:43:00,2093764846,,"179.155.90.249",3
08/05/2017 14:35:00,2093760811,,"191.223.97.21",4
08/05/2017 14:32:00,2093758992,,"157.55.39.75",0
08/05/2017 14:31:00,2093758646,,"65.55.210.0",0
08/05/2017 14:31:00,2093758535,,"66.249.64.210",0
08/05/2017 14:27:00,2093756811,,"189.31.233.171",26
08/05/2017 14:26:00,2093755828,,"177.6.123.178",0
08/05/2017 14:22:00,2093753981,,"66.249.64.218",0
08/05/2017 14:19:00,2093752392,,"54.236.1.11",0
08/05/2017 14:17:00,2093751404,,"186.237.159.228",6
08/05/2017 14:14:00,2093750185,,"186.237.159.228",115
08/05/2017 14:14:00,2093749883,,"199.30.25.44",0
08/05/2017 14:14:00,2093749839,,"157.55.39.122",0
08/05/2017 14:13:00,2093749477,,"186.237.159.228",5
08/05/2017 14:13:00,2093749397,,"186.237.159.228",0
08/05/2017 14:13:00,2093749227,,"189.6.16.6",16
08/05/2017 14:11:00,2093748315,,"177.138.28.207",3
08/05/2017 14:08:00,2093747079,,"66.249.64.210",0
08/05/2017 14:07:00,2093746564,,"177.7.123.56",12
08/05/2017 14:07:00,2093746502,,"191.54.149.51",26
08/05/2017 14:07:00,2093746496,,"177.232.82.145",1
08/05/2017 14:07:00,2093746473,,"54.236.1.11",0
08/05/2017 14:03:00,2093744261,,"177.144.156.175",17
08/05/2017 14:01:00,2093743654,,"168.197.192.14",1
08/05/2017 14:01:00,2093743320,,"186.225.117.58",22
08/05/2017 13:53:00,2093739555,16339,"200.144.75.157",35
08/05/2017 13:52:00,2093738808,,"177.16.100.65",36
08/05/2017 13:49:00,2093737385,,"201.79.21.95",10
08/05/2017 13:45:00,2093735119,,"177.101.83.12",6
08/05/2017 13:42:00,2093733760,,"131.253.27.100",0
08/05/2017 13:42:00,2093733342,,"66.249.64.218",0
08/05/2017 13:41:00,2093733306,,"168.90.210.230",16
08/05/2017 13:40:00,2093732808,,"66.249.64.210",0
08/05/2017 13:40:00,2093732520,,"66.249.64.218",0
08/05/2017 13:40:00,2093732488,,"66.220.156.144",1
08/05/2017 13:40:00,2093732310,,"86.100.47.219",1
08/05/2017 13:35:00,2093729527,16340,"177.6.123.178",24
08/05/2017 13:32:00,2093728130,,"54.236.1.13",0
08/05/2017 13:32:00,2093728126,,"172.58.102.178",3
08/05/2017 13:24:00,2093723858,,"66.249.64.210",0
08/05/2017 13:22:00,2093722663,,"67.227.147.196",2
08/05/2017 13:22:00,2093722533,,"157.55.39.75",0
08/05/2017 13:20:00,2093721271,,"200.183.210.66",14
08/05/2017 13:20:00,2093721259,,"66.249.64.214",0
08/05/2017 13:11:00,2093717013,,"173.252.115.7",1
08/05/2017 13:04:00,2093713726,,"131.72.222.165",1
08/05/2017 13:03:00,2093713530,,"177.51.233.199",2
08/05/2017 12:59:00,2093711654,,"66.249.64.214",0
08/05/2017 12:58:00,2093711262,,"177.10.82.250",15
08/05/2017 12:57:00,2093710560,,"117.0.194.220",0
08/05/2017 12:57:00,2093710553,,"54.236.1.11",0
08/05/2017 12:57:00,2093710552,,"117.0.194.220",1
08/05/2017 12:57:00,2093710548,,"54.236.1.14",0
08/05/2017 12:57:00,2093710541,,"54.236.1.13",0
08/05/2017 12:54:00,2093708691,,"200.142.3.243",27
08/05/2017 12:50:00,2093706413,,"173.252.123.183",1
08/05/2017 12:49:00,2093706156,,"200.220.139.59",2
08/05/2017 12:46:00,2093704697,,"66.249.64.214",0
08/05/2017 12:46:00,2093704293,,"179.198.246.89",17
08/05/2017 12:44:00,2093703604,,"66.249.64.214",0
08/05/2017 12:42:00,2093702650,,"66.249.64.214",0
08/05/2017 12:38:00,2093700510,,"40.77.167.133",0
08/05/2017 12:34:00,2093698639,,"66.249.64.218",0
08/05/2017 12:27:00,2093695663,,"177.125.230.119",2
08/05/2017 12:24:00,2093693885,,"177.221.56.62",5
08/05/2017 12:22:00,2093692844,,"177.106.76.156",6
08/05/2017 12:21:00,2093692438,,"66.249.64.218",0
08/05/2017 12:19:00,2093690898,,"191.180.38.190",1
08/05/2017 12:18:00,2093690811,,"66.249.64.210",0
08/05/2017 12:18:00,2093690708,,"66.249.64.214",0
08/05/2017 12:18:00,2093690609,,"66.249.64.210",0
08/05/2017 12:17:00,2093689944,,"157.55.39.75",0
08/05/2017 12:14:00,2093688215,,"54.236.1.13",0
08/05/2017 12:14:00,2093688187,,"201.67.84.3",1
08/05/2017 12:13:00,2093687514,,"167.250.150.37",2
08/05/2017 12:10:00,2093686356,,"157.55.39.75",0
08/05/2017 12:10:00,2093686349,,"157.55.39.75",0
08/05/2017 12:10:00,2093686344,,"157.55.39.75",0
08/05/2017 12:10:00,2093686294,,"157.55.39.75",0
08/05/2017 12:10:00,2093686290,,"157.55.39.75",0
08/05/2017 12:10:00,2093686285,,"157.55.39.75",0
08/05/2017 12:10:00,2093686282,,"157.55.39.75",0
08/05/2017 12:10:00,2093686277,,"157.55.39.75",0
08/05/2017 12:10:00,2093686273,,"157.55.39.75",0
08/05/2017 12:10:00,2093686262,,"157.55.39.75",0
08/05/2017 12:10:00,2093686255,,"157.55.39.75",0
08/05/2017 12:10:00,2093686252,,"157.55.39.75",0
08/05/2017 12:10:00,2093686200,,"157.55.39.75",0
08/05/2017 12:10:00,2093686195,,"157.55.39.75",0
08/05/2017 12:10:00,2093686190,,"157.55.39.75",0
08/05/2017 12:10:00,2093686185,,"157.55.39.75",0
08/05/2017 12:10:00,2093686181,,"157.55.39.75",0
08/05/2017 12:10:00,2093686174,,"157.55.39.75",0
08/05/2017 12:10:00,2093686167,,"157.55.39.75",0
08/05/2017 12:10:00,2093686159,,"157.55.39.75",0
08/05/2017 12:10:00,2093686157,,"157.55.39.75",0
08/05/2017 12:10:00,2093686149,,"157.55.39.75",0
08/05/2017 12:10:00,2093686139,,"157.55.39.75",0
08/05/2017 12:10:00,2093686103,,"157.55.39.75",0
08/05/2017 12:10:00,2093686098,,"157.55.39.75",0
08/05/2017 12:10:00,2093686093,,"157.55.39.75",0
08/05/2017 12:10:00,2093686085,,"157.55.39.75",0
08/05/2017 12:10:00,2093686077,,"157.55.39.75",0
08/05/2017 12:10:00,2093686074,,"157.55.39.75",0
08/05/2017 12:10:00,2093686068,,"157.55.39.75",0
08/05/2017 12:10:00,2093686065,,"157.55.39.75",0
08/05/2017 12:10:00,2093686057,,"157.55.39.75",0
08/05/2017 12:10:00,2093686053,,"157.55.39.75",0
08/05/2017 12:10:00,2093686007,,"157.55.39.75",0
